age,area,district,floor,location,mode,price
2018,45,北京周边,中层(共23层),首尔甜城,2室1厅1卫,15555
2000,211,东城,中层(共15层),宝润苑,3室2厅3卫,66350
1999,100,海淀,低层(共18层),北三环中路43号院,3室2厅1卫,99730
2010,81,北京周边,高层(共18层),星河皓月,2室1厅1卫,21234
1998,71,怀柔,高层(共6层),杨家园,3室1厅1卫,32394
2003,125,昌平,共3层,龙脉温泉花园,3室2厅2卫,26160
2011,81,房山,低层(共20层),中国铁建长阳国际城,2室1厅1卫,37283
2015,159,丰台,低层(共6层),山语城,4室2厅2卫,41509
2000,81,朝阳,高层(共6层),安慧北里逸园,3室1厅1卫,67567
2012,75,房山,低层(共18层),首创新悦都,2室1厅1卫,40848
2000,81,丰台,低层(共24层),西罗园一区,3室1厅1卫,55983
1974,51,西城,共5层,平原里小区,2室1厅1卫,101880
2005,58,东城,高层(共10层),新景家园东区,1室1厅1卫,95689
2013,55,昌平,中层(共15层),龙山华府,1室1厅1卫,46000
2008,132,朝阳,高层(共10层),爱这城二期,3室2厅2卫,81818
2008,416,密云,共2层,君山别墅,5室2厅3卫,43269
1998,82,房山,低层(共6层),燕化星城健德三里,2室1厅1卫,27804
2012,1926,朝阳,地下(共4层),远洋LAVIE,6室3厅6卫,128764
2014,382,顺义,共4层,誉天下,4室1厅4卫,36623
2000,157,朝阳,高层(共22层),盛世嘉园,3室2厅1卫,71070
2014,90,丰台,高层(共11层),园博嘉园(东区),2室2厅1卫,48888
1992,58,朝阳,中层(共12层),秀水园小区,2室1厅1卫,71440
2000,69,西城,低层(共10层),三里河一区2号院,2室0厅0卫,139914
2000,91,密云,中层(共6层),果园西里小区,2室2厅1卫,24175
1982,63,昌平,高层(共6层),商业街工商局宿舍,2室1厅1卫,37676
1997,71,大兴,低层(共6层),清和园,2室1厅1卫,42615
2012,93,大兴,中层(共6层),首地浣溪谷,3室1厅1卫,35245
2005,72,密云,低层(共6层),康居南区,2室1厅1卫,23333
2006,380,顺义,共3层,龙湾别墅,5室3厅3卫,63131
2005,92,石景山,中层(共18层),西引力,2室1厅1卫,52932
2006,105,朝阳,高层(共6层),朝新嘉园东里二区,2室1厅1卫,44013
2008,524,朝阳,共3层,复地首府,4室2厅4卫,92441
1999,140,朝阳,高层(共28层),望京明苑,3室1厅2卫,57151
1995,86,昌平,低层(共6层),燕城苑北区,2室2厅1卫,38372
1996,92,东城,低层(共6层),仓南胡同14号院,3室1厅1卫,108342
2007,94,通州,高层(共10层),新城阳光,2室1厅1卫,46990
2016,83,北京周边,高层(共24层),桃源新都孔雀城,2室1厅1卫,9638
1998,98,朝阳,高层(共22层),世纪村(三区),2室2厅1卫,60642
1996,58,大兴,高层(共6层),富强西里,2室1厅1卫,41180
2005,94,朝阳,低层(共25层),苹果社区(南区),2室1厅1卫,79609
2006,354,海淀,中层(共9层),万城华府龙园,5室3厅4卫,223163
2015,84,大兴,中层(共28层),保利春天里,2室1厅1卫,41666
2008,161,朝阳,中层(共26层),上京新航线,3室2厅2卫,89705
2017,169,平谷,共3层,平谷山水放歌别墅,3室2厅3卫,9467
2012,57,昌平,中层(共16层),三合庄园,2室2厅1卫,42982
2010,45,北京周边,高层(共12层),星河185,2室1厅2卫,32222
2017,125,北京周边,共2层,阳光城,3室2厅2卫,21600
2000,90,朝阳,低层(共27层),金隅丽景园,3室1厅1卫,44101
2005,360,海淀,共5层,万城华府玺园,4室2厅3卫,163555
2010,70,朝阳,高层(共22层),金隅丽景园,2室1厅1卫,39285
2013,85,北京周边,中层(共28层),潮白河孔雀城紫藤园,2室2厅1卫,17058
2008,233,朝阳,高层(共60层),御金台,3室2厅3卫,137160
2000,89,朝阳,中层(共26层),望京西园四区,2室1厅1卫,66292
2012,205,北京周边,地下(共3层),世茂萨拉曼卡(别墅),5室3厅4卫,22439
2009,131,朝阳,中层(共16层),润枫水尚(东区),2室2厅2卫,83969
2013,275,朝阳,高层(共20层),阳光上东,4室2厅3卫,68900
